Date,Name,Momentum
2022-03-22,AMZN,577.4900000000002
2022-03-28,AMZN,542.75
2020-04-16,AMZN,500.49
2020-04-20,AMZN,487.0200000000002
2022-03-23,AMZN,482.5799999999999
2022-03-21,AMZN,480.77
2020-04-17,AMZN,456.1700000000001
2020-07-09,AMZN,448.23
2022-02-09,AMZN,446.34000000000015
2020-07-10,AMZN,445.4200000000001
2022-03-29,AMZN,438.97000000000025
2022-02-08,AMZN,428.5500000000002
2020-07-13,AMZN,411.1300000000001
2020-07-14,AMZN,403.6199999999999
2022-02-10,AMZN,387.32000000000016
2022-03-25,AMZN,384.98
2020-07-06,AMZN,382.02999999999975
2020-04-24,AMZN,367.4599999999998
2020-04-15,AMZN,357.9599999999998
2020-04-23,AMZN,356.4499999999998
2020-04-22,AMZN,351.8899999999999
2021-11-03,TSLA,348.05999999999995
2021-11-01,TSLA,338.4799999999999
2022-03-24,AMZN,336.6399999999999
2021-11-04,TSLA,335.9100000000001
2020-04-21,AMZN,330.53
2021-04-12,AMZN,327.3599999999997
2021-04-09,AMZN,325.9399999999996
2022-03-28,TSLA,325.4699999999999
2021-04-13,AMZN,324.27
2020-04-14,AMZN,319.3700000000001
2021-07-12,AMZN,317.09000000000015
2020-07-08,AMZN,316.7000000000003
2022-02-17,AMZN,316.1400000000003
2019-01-09,AMZN,315.46000000000004
2021-11-05,TSLA,312.40999999999997
2022-03-18,AMZN,312.19000000000005
2021-11-02,TSLA,307.73
2020-02-10,AMZN,305.56999999999994
2021-06-17,AMZN,302.22999999999956
2020-02-12,AMZN,302.0
2022-02-04,AMZN,299.92999999999984
2020-10-13,AMZN,298.75
2022-03-29,TSLA,297.67999999999995
2020-02-11,AMZN,297.5500000000002
2020-07-07,AMZN,286.2999999999997
2021-04-15,AMZN,285.0100000000002
2021-06-18,AMZN,280.6800000000003
2020-08-26,AMZN,279.6100000000001
2020-02-13,AMZN,279.1899999999998
2019-01-08,AMZN,279.1299999999999
2020-03-26,AMZN,278.8800000000001
2021-09-03,AMZN,278.10000000000036
2021-09-01,AMZN,277.7800000000002
2021-04-14,AMZN,277.71000000000004
2021-09-02,AMZN,275.3699999999999
2020-03-30,AMZN,274.79999999999995
2021-10-29,TSLA,270.97
2020-09-02,AMZN,270.9699999999998
2021-07-09,AMZN,270.2600000000002
2020-10-12,AMZN,268.87999999999965
2020-04-13,AMZN,268.77
2020-08-31,AMZN,268.5500000000002
