Date,Name,Price
2021-08-13,AMZN,3293.97
2021-01-22,AMZN,3292.23
2021-08-11,AMZN,3292.11
2021-05-07,AMZN,3291.61
2021-10-08,AMZN,3288.62
2022-01-05,AMZN,3287.14
2020-10-09,AMZN,3286.65
2021-02-10,AMZN,3286.58
2020-10-27,AMZN,3286.33
2020-12-30,AMZN,3285.85
2021-09-30,AMZN,3285.04
2020-08-21,AMZN,3284.72
2021-10-13,AMZN,3284.28
2020-12-28,AMZN,3283.96
2021-10-01,AMZN,3283.26
2021-06-09,AMZN,3281.15
2021-04-07,AMZN,3279.39
2021-02-12,AMZN,3277.71
2022-03-24,AMZN,3272.99
2020-10-16,AMZN,3272.71
2021-05-05,AMZN,3270.54
2021-05-17,AMZN,3270.39
2021-02-16,AMZN,3268.95
2020-09-09,AMZN,3268.61
2022-03-23,AMZN,3268.16
2021-08-23,AMZN,3265.87
2021-05-26,AMZN,3265.16
2022-01-06,AMZN,3265.08
2021-06-08,AMZN,3264.11
2021-01-20,AMZN,3263.38
2021-02-11,AMZN,3262.13
2021-10-06,AMZN,3262.01
2020-08-19,AMZN,3260.48
2022-03-31,AMZN,3259.95
2021-05-25,AMZN,3259.05
2020-12-31,AMZN,3256.93
2022-01-07,AMZN,3251.08
2021-02-19,AMZN,3249.9
2021-05-20,AMZN,3247.68
2021-10-12,AMZN,3247.33
2021-10-11,AMZN,3246.3
2021-05-24,AMZN,3244.99
2022-01-14,AMZN,3242.76
2021-08-17,AMZN,3241.96
2020-11-04,AMZN,3241.16
2020-12-16,AMZN,3240.96
2021-01-28,AMZN,3237.62
2020-12-17,AMZN,3236.08
2021-06-02,AMZN,3233.99
2021-01-27,AMZN,3232.58
2021-05-18,AMZN,3232.28
2021-05-19,AMZN,3231.8
2021-05-27,AMZN,3230.11
2022-03-21,AMZN,3229.83
2022-01-10,AMZN,3229.72
2022-02-08,AMZN,3228.27
2021-04-05,AMZN,3226.73
2022-03-18,AMZN,3225.01
2020-08-06,AMZN,3225.0
2022-01-13,AMZN,3224.28
2021-05-11,AMZN,3223.91
2021-04-06,AMZN,3223.82
2022-02-09,AMZN,3223.79
2021-05-28,AMZN,3223.07
2021-05-14,AMZN,3222.9
2020-10-01,AMZN,3221.26
2021-10-05,AMZN,3221.0
2020-12-01,AMZN,3220.08
2021-06-01,AMZN,3218.65
2021-01-05,AMZN,3218.51
2020-10-20,AMZN,3217.01
2020-10-29,AMZN,3211.01
2020-10-19,AMZN,3207.21
2020-10-26,AMZN,3207.04
2020-12-22,AMZN,3206.52
2021-06-04,AMZN,3206.22
2021-01-29,AMZN,3206.2
2020-12-21,AMZN,3206.18
2020-08-05,AMZN,3205.03
2020-10-23,AMZN,3204.4
2020-12-02,AMZN,3203.53
2021-05-21,AMZN,3203.08
2020-12-18,AMZN,3201.65
2021-08-18,AMZN,3201.22
2020-07-10,AMZN,3200.0
2021-08-20,AMZN,3199.95
2020-10-05,AMZN,3199.2
2021-06-07,AMZN,3198.01
2020-07-20,AMZN,3196.84
2020-10-07,AMZN,3195.69
2020-11-27,AMZN,3195.34
2021-02-23,AMZN,3194.5
2020-10-08,AMZN,3190.55
2021-05-10,AMZN,3190.49
2021-10-04,AMZN,3189.78
2021-08-19,AMZN,3187.75
2021-06-03,AMZN,3187.01
2020-12-03,AMZN,3186.73
2021-01-04,AMZN,3186.63
2020-12-23,AMZN,3185.27
2020-11-25,AMZN,3185.07
2020-10-21,AMZN,3184.94
2021-01-08,AMZN,3182.7
2020-07-09,AMZN,3182.63
2020-08-17,AMZN,3182.41
2021-02-22,AMZN,3180.74
2022-02-10,AMZN,3180.07
2022-01-18,AMZN,3178.35
2020-12-08,AMZN,3177.29
2020-10-22,AMZN,3176.4
2020-09-10,AMZN,3175.11
2020-09-28,AMZN,3174.05
2020-12-24,AMZN,3172.69
2020-11-30,AMZN,3168.04
2020-08-07,AMZN,3167.46
2021-01-13,AMZN,3165.89
2020-12-15,AMZN,3165.12
2020-07-31,AMZN,3164.68
2020-10-28,AMZN,3162.78
2020-12-04,AMZN,3162.58
2020-08-12,AMZN,3162.24
2021-01-07,AMZN,3162.16
2022-02-16,AMZN,3162.01
2021-05-13,AMZN,3161.47
2020-08-13,AMZN,3161.02
2021-04-01,AMZN,3161.0
2021-02-24,AMZN,3159.53
2022-02-07,AMZN,3158.71
2020-12-07,AMZN,3158.0
2020-12-14,AMZN,3156.97
2020-09-15,AMZN,3156.13
2022-02-04,AMZN,3152.79
2021-05-12,AMZN,3151.94
2020-09-08,AMZN,3149.84
2020-09-30,AMZN,3148.73
2020-08-10,AMZN,3148.16
2020-08-14,AMZN,3148.02
2021-03-01,AMZN,3146.14
2020-09-29,AMZN,3144.88
2022-03-17,AMZN,3144.78
2020-11-09,AMZN,3143.74
2020-08-04,AMZN,3138.83
2021-01-06,AMZN,3138.38
2020-07-21,AMZN,3138.29
2021-03-23,AMZN,3137.5
2020-11-11,AMZN,3137.39
2021-03-17,AMZN,3135.73
2020-11-17,AMZN,3135.66
2020-11-16,AMZN,3131.06
2022-02-15,AMZN,3130.21
2020-09-22,AMZN,3128.99
2020-11-13,AMZN,3128.81
2021-01-14,AMZN,3127.47
2022-01-19,AMZN,3125.98
2020-10-02,AMZN,3125.0
2021-01-12,AMZN,3120.83
2021-01-19,AMZN,3120.76
2020-11-24,AMZN,3118.06
2020-11-19,AMZN,3117.02
2020-12-11,AMZN,3116.42
2020-09-11,AMZN,3116.22
2021-01-11,AMZN,3114.21
2021-03-11,AMZN,3113.59
2020-08-03,AMZN,3111.89
2021-03-22,AMZN,3110.87
2020-11-12,AMZN,3110.28
2020-11-18,AMZN,3105.46
2021-01-15,AMZN,3104.25
2020-12-09,AMZN,3104.2
2020-07-13,AMZN,3104.0
2022-02-14,AMZN,3103.34
2020-09-14,AMZN,3102.97
2020-12-10,AMZN,3101.49
2020-10-06,AMZN,3099.96
2020-07-22,AMZN,3099.91
2020-11-20,AMZN,3099.4
2020-11-23,AMZN,3098.39
2020-09-25,AMZN,3095.13
2021-03-02,AMZN,3094.53
2021-03-31,AMZN,3094.08
2022-02-17,AMZN,3093.05
2021-02-26,AMZN,3092.93
2021-03-16,AMZN,3091.86
2021-03-12,AMZN,3089.49
2021-03-24,AMZN,3087.07
2020-07-14,AMZN,3084.0
2021-03-15,AMZN,3081.68
2020-07-08,AMZN,3081.11
2020-08-11,AMZN,3080.67
2020-09-16,AMZN,3078.1
2022-02-25,AMZN,3075.77
2021-03-29,AMZN,3075.73
2021-03-19,AMZN,3074.96
2022-02-28,AMZN,3071.26
2022-02-11,AMZN,3065.87
2021-03-09,AMZN,3062.85
2022-03-16,AMZN,3062.08
2021-03-10,AMZN,3057.64
2021-02-25,AMZN,3057.16
2020-07-06,AMZN,3057.04
2021-03-30,AMZN,3055.29
2020-07-27,AMZN,3055.21
2021-03-26,AMZN,3052.03
2022-02-18,AMZN,3052.03
2020-07-30,AMZN,3051.88
2020-11-03,AMZN,3048.41
2021-03-25,AMZN,3046.26
2022-03-02,AMZN,3041.05
2020-10-30,AMZN,3036.15
2020-11-10,AMZN,3035.02
2020-07-29,AMZN,3033.53
2022-01-20,AMZN,3033.35
2021-03-18,AMZN,3027.99
2022-02-24,AMZN,3027.16
2022-02-01,AMZN,3023.87
2022-03-01,AMZN,3022.84
2020-09-24,AMZN,3019.79
2022-02-02,AMZN,3012.25
2020-07-24,AMZN,3008.91
2020-07-15,AMZN,3008.87
2020-09-17,AMZN,3008.73
2021-03-03,AMZN,3005.0
2020-11-02,AMZN,3004.48
2022-02-22,AMZN,3003.95
2021-03-05,AMZN,3000.46
2020-07-28,AMZN,3000.33
2020-07-07,AMZN,3000.12
2020-07-16,AMZN,2999.9
2020-09-23,AMZN,2999.86
2022-01-31,AMZN,2991.47
2020-07-23,AMZN,2986.55
2021-03-04,AMZN,2977.57
2020-07-17,AMZN,2961.97
2020-09-21,AMZN,2960.47
2022-03-03,AMZN,2957.97
2020-09-18,AMZN,2954.91
2021-03-08,AMZN,2951.95
2022-03-15,AMZN,2947.33
2022-03-10,AMZN,2936.35
2022-03-04,AMZN,2912.82
2022-03-11,AMZN,2910.49
2022-02-23,AMZN,2896.54
2022-01-24,AMZN,2890.88
2020-07-02,AMZN,2890.3
2022-01-28,AMZN,2879.56
2020-07-01,AMZN,2878.7
2022-01-21,AMZN,2852.86
2022-03-14,AMZN,2837.06
2022-01-25,AMZN,2799.72
2022-01-27,AMZN,2792.75
2022-03-09,AMZN,2785.58
2022-01-26,AMZN,2777.45
2022-02-03,AMZN,2776.91
2020-06-23,AMZN,2764.41
2020-06-30,AMZN,2758.82
2020-06-25,AMZN,2754.58
